model,dataset,seq_len,pred_len,status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,real_scalar_equivalent,fp32_model_mib,parameter_source,seed,train_seconds,test_elapsed_seconds,inference_seconds,forward_ms_per_sample,test_peak_gpu_mem_mb,source_type,protocol,source_path,published_reference_mse,published_reference_source,notes
MixLinear,ETTh1,96,96,ok,0.4024002254009247,0.4069834053516388,,0.634350238749,49,,,67,0.000255585,logged_n_param,2026,22.9792,,0.6562,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh1,96,96,ok,0.38062536933473257,0.38848623423076883,9.288742270533147,0.616948433287,1500,,,1500,0.005722046,0716v2_audited_param_count,2021,175.95558857917786,,2.1440811157226562,0.2339589371073396,33.95263671875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FreqCycle,ETTh1,96,96,ok,0.37144470736063845,0.3918306573249971,9.346022965256301,0.609462638199,50552,25752,24800,50552,0.192840576,0716v2_audited_param_count,2026,20.586074829101562,,1.675163745880127,0.14589984284269103,71.18896484375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Compact + Echo,ETTh1,96,192,ok,0.42231090126032317,0.41777655641692857,9.864383680223725,0.649854523151,2370,,,2370,0.009040833,locked_3seed_actual_param_count,"2024,2025,2026",29.94416340192159,,,,47.88037109375,local_compact_echo_locked_3seed_mean,validation-locked production route; three matched seeds; one deferred held-out test per checkpoint,analysis_exp/source_snapshot_0721v1/compact_echo_true9_88cells.csv,,,Production route arm=true_compact_echo; MAPE was streamed during the 0717v2 completion.
TQNet,ETTh1,96,192,ok,0.42978137731552124,0.422845721244812,,0.655577133002,710888,,,710888,2.711822510,logged_n_param,2026,16.5263,,0.589,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh1,96,192,ok,0.42691347002983093,0.4199761748313904,,0.653386156901,18792,,,18792,0.071685791,logged_n_param,2026,17.141,,0.5818,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh1,96,192,ok,0.43786847591400146,0.42837396264076233,,0.661716310751,1950,,,3900,0.014877319,logged_n_param,2026,46.8684,,0.8566,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh1,96,192,ok,0.4348452687263489,0.42040011286735535,,0.659427986005,57,,,57,0.000217438,logged_n_param,2026,19.5839,,0.7258,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh1,96,192,ok,0.44686171412467957,0.43900513648986816,,0.668477160511,3261504,,,3261504,12.441650391,logged_n_param,2026,51.2946,,1.2252,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh1,96,192,ok,0.4428230822086334,0.43338215351104736,,0.665449533931,74286,,,74286,0.283378601,logged_n_param,2026,27.4265,,1.5004,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh1,96,192,ok,0.43971720337867737,0.43575483560562134,,0.663111757835,866240,,,866240,3.304443359,logged_n_param,2026,30.3707,,1.0538,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh1,96,192,ok,0.4361526370048523,0.42726215720176697,,0.660418531694,53696,,,53696,0.204833984,logged_n_param,2026,151.1301,,0.8444,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh1,96,192,ok,0.4465476870536804,0.4398042857646942,,0.668242236808,37248,,,37248,0.142089844,logged_n_param,2026,25.0375,,1.0236,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh1,96,192,ok,0.4334625005722046,0.42114195227622986,,0.658378690855,61,,,87,0.000331879,logged_n_param,2026,21.9138,,0.7231,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh1,96,192,ok,0.4301431020327569,0.41711510678714697,9.154527003199478,0.655852957631,1520,,,1520,0.005798340,0716v2_audited_param_count,2021,147.96750402450562,,2.1768720149993896,0.24156818494017837,34.19287109375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FreqCycle,ETTh1,96,192,ok,0.4154759513776131,0.41666401668319786,9.199771874100172,0.644574240393,75320,38136,37184,75320,0.287322998,0716v2_audited_param_count,2026,21.307814121246338,,1.6865408420562744,0.15169485998933932,75.31494140625,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Compact + Echo,ETTh1,96,336,ok,0.4595741100426146,0.4364206349592047,9.674394537148942,0.677918955365,2562,,,2562,0.009773254,locked_3seed_actual_param_count,"2024,2025,2026",27.202557961146038,,,,59.1689453125,local_compact_echo_locked_3seed_mean,validation-locked production route; three matched seeds; one deferred held-out test per checkpoint,analysis_exp/source_snapshot_0721v1/compact_echo_true9_88cells.csv,,,Production route arm=true_compact_echo; MAPE was streamed during the 0717v2 completion.
TQNet,ETTh1,96,336,ok,0.4756699502468109,0.4456445872783661,,0.68968829934,784760,,,784760,2.993621826,logged_n_param,2026,15.8559,,0.7435,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh1,96,336,ok,0.4651665985584259,0.4399872422218323,,0.6820312299,32760,,,32760,0.124969482,logged_n_param,2026,18.2607,,0.54,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh1,96,336,ok,0.47694048285484314,0.44809475541114807,,0.690608776989,2912,,,5824,0.022216797,logged_n_param,2026,48.5447,,0.8354,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh1,96,336,ok,0.48060882091522217,0.4456454813480377,,0.693259562441,81,,,81,0.000308990,logged_n_param,2026,26.6412,,0.7454,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh1,96,336,ok,0.5001930594444275,0.472714364528656,,0.707243281654,3298512,,,3298512,12.582824707,logged_n_param,2026,32.809,,1.1474,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh1,96,336,ok,0.5195631980895996,0.4716823101043701,,0.720807323832,111294,,,111294,0.424552917,logged_n_param,2026,34.2155,,1.464,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh1,96,336,ok,0.48971134424209595,0.45992225408554077,,0.699793786942,3379024,,,3379024,12.889953613,logged_n_param,2026,22.2546,,0.9965,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh1,96,336,ok,0.48050761222839355,0.45093804597854614,,0.693186563797,81488,,,81488,0.310852051,logged_n_param,2026,122.1467,,0.7768,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh1,96,336,ok,0.5157304406166077,0.49302875995635986,,0.718143746486,65184,,,65184,0.248657227,logged_n_param,2026,20.3688,,0.9907,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh1,96,336,ok,0.47479209303855896,0.43993356823921204,,0.689051589533,77,,,115,0.000438690,logged_n_param,2026,40.0804,,0.7262,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh1,96,336,ok,0.46791915283195945,0.4353439596951045,9.389008934594177,0.684046162793,1550,,,1550,0.005912781,0716v2_audited_param_count,2021,116.75128173828125,,2.0647714138031006,0.24664923292538973,34.55322265625,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FreqCycle,ETTh1,96,336,ok,0.4577838957380136,0.4382918532447932,9.48410875636819,0.676597292145,445016,222984,222032,445016,1.697601318,0716v2_audited_param_count,2026,20.301886081695557,,1.5994091033935547,0.14058074681545757,83.8037109375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Compact + Echo,ETTh1,96,720,ok,0.45977735283737237,0.4538036911911172,9.889338965009726,0.67806884078,3074,,,3074,0.011726379,locked_3seed_actual_param_count,"2024,2025,2026",34.929500897725426,,,,85.5283203125,local_compact_echo_locked_3seed_mean,validation-locked production route; three matched seeds; one deferred held-out test per checkpoint,analysis_exp/source_snapshot_0721v1/compact_echo_true9_88cells.csv,,,Production route arm=true_compact_echo; MAPE was streamed during the 0717v2 completion.
TQNet,ETTh1,96,720,ok,0.49081337451934814,0.4718521237373352,,0.7005807409,981752,,,981752,3.745086670,logged_n_param,2026,15.8099,,0.7849,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh1,96,720,ok,0.46242040395736694,0.4617672264575958,,0.680015002744,70008,,,70008,0.267059326,logged_n_param,2026,20.3551,,0.7167,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh1,96,720,ok,0.47635969519615173,0.4778337776660919,,0.69018815927,5512,,,11024,0.042053223,logged_n_param,2026,53.8259,,0.9692,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh1,96,720,ok,0.4634914696216583,0.4575486481189728,,0.680802078156,145,,,145,0.000553131,logged_n_param,2026,35.2008,,0.8894,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh1,96,720,ok,0.574812114238739,0.5450076460838318,,0.758163646081,3397200,,,3397200,12.959289551,logged_n_param,2026,38.2767,,1.1321,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh1,96,720,ok,0.6354541182518005,0.5339949727058411,,0.797153760734,209982,,,209982,0.801017761,logged_n_param,2026,27.8532,,1.5715,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh1,96,720,ok,0.5136282444000244,0.49674874544143677,,0.716678620024,3576016,,,3576016,13.641418457,logged_n_param,2026,22.6652,,1.2617,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh1,96,720,ok,0.4889317750930786,0.47666680812835693,,0.699236565901,155600,,,155600,0.593566895,logged_n_param,2026,103.7317,,0.8827,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh1,96,720,ok,0.5426162481307983,0.5277174711227417,,0.736624903279,139680,,,139680,0.532836914,logged_n_param,2026,26.6807,,1.0902,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh1,96,720,ok,0.47580012679100037,0.4673670828342438,,0.689782666346,117,,,187,0.000713348,logged_n_param,2026,27.4465,,0.7853,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh1,96,720,ok,0.4645510954753938,0.4464530291507048,8.78330340271801,0.681579852604,56550,,,56550,0.215721130,0716v2_audited_param_count,2021,192.22274708747864,,2.1388614177703857,0.2885547527773603,39.0654296875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FreqCycle,ETTh1,96,720,ok,0.45947898757415606,0.45730502571311216,10.141159804213268,0.677848794035,839000,419976,419024,839000,3.200531006,0716v2_audited_param_count,2026,22.787699699401855,,1.6125798225402832,0.16545235191862764,100.24462890625,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Compact + Echo,ETTh2,96,96,ok,0.2847804530839197,0.3351129108733952,1.4204935436306692,0.53364824846,2242,,,2242,0.008552551,locked_3seed_actual_param_count,"2024,2025,2026",22.76865617434184,,,,41.22119140625,local_compact_echo_locked_3seed_mean,validation-locked production route; three matched seeds; one deferred held-out test per checkpoint,analysis_exp/source_snapshot_0721v1/compact_echo_true9_88cells.csv,,,Production route arm=true_compact_echo; MAPE was streamed during the 0717v2 completion.
TQNet,ETTh2,96,96,ok,0.29276853799819946,0.3421964943408966,,0.541080897832,661640,,,661640,2.523956299,logged_n_param,2026,15.6272,,0.5845,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh2,96,96,ok,0.2869143486022949,0.336274117231369,,0.535643863591,9480,,,9480,0.036163330,logged_n_param,2026,16.7173,,0.5937,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh2,96,96,ok,0.2962391674518585,0.3435402512550354,,0.544278575228,1300,,,2600,0.009918213,logged_n_param,2026,49.2632,,0.9658,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh2,96,96,ok,0.3032776415348053,0.3469540774822235,,0.550706493093,41,,,41,0.000156403,logged_n_param,2026,23.3885,,0.733,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh2,96,96,ok,0.3138924539089203,0.3705407977104187,,0.560261058712,3236832,,,3236832,12.347534180,logged_n_param,2026,33.8702,,1.3369,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh2,96,96,ok,0.30057621002197266,0.34798553586006165,,0.548248310551,49614,,,49614,0.189262390,logged_n_param,2026,24.1159,,1.7705,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh2,96,96,ok,0.3037857115268707,0.3525485694408417,,0.551167589329,224224,,,224224,0.855346680,logged_n_param,2026,27.5113,,1.1219,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh2,96,96,ok,0.29275190830230713,0.3426553010940552,,0.541065530507,35168,,,35168,0.134155273,logged_n_param,2026,71.9322,,0.8192,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh2,96,96,ok,0.31192904710769653,0.36561572551727295,,0.558506085113,18624,,,18624,0.071044922,logged_n_param,2026,23.0341,,1.0561,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh2,96,96,ok,0.30284741520881653,0.3467482328414917,,0.550315741378,49,,,87,0.000331879,logged_n_param,2026,27.923,,0.7654,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh2,96,96,ok,0.29247250065308056,0.34092886913318643,1.455730983173404,0.540807267567,1508,,,1508,0.005752563,0716v2_audited_param_count,2021,48.845977544784546,,1.893197774887085,0.16256518648599594,34.1826171875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FreqCycle,ETTh2,96,96,ok,0.28661866635952976,0.33877949137717595,1.426332396994327,0.535367786068,50552,25752,24800,50552,0.192840576,0716v2_audited_param_count,2026,17.889517307281494,,1.5739281177520752,0.11624534676249408,71.18896484375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Compact + Echo,ETTh2,96,192,ok,0.3741459363188921,0.3923750780073297,1.6208731652318624,0.611674698119,2370,,,2370,0.009040833,locked_3seed_actual_param_count,"2024,2025,2026",20.11625401178996,,,,47.88037109375,local_compact_echo_locked_3seed_mean,validation-locked production route; three matched seeds; one deferred held-out test per checkpoint,analysis_exp/source_snapshot_0721v1/compact_echo_true9_88cells.csv,,,Production route arm=true_compact_echo; MAPE was streamed during the 0717v2 completion.
TQNet,ETTh2,96,192,ok,0.36600902676582336,0.3912723660469055,,0.604986798836,710888,,,710888,2.711822510,logged_n_param,2026,14.6184,,0.7391,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh2,96,192,ok,0.3727259635925293,0.39143335819244385,,0.61051286931,18792,,,18792,0.071685791,logged_n_param,2026,18.3953,,0.5876,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh2,96,192,ok,0.3818401098251343,0.3942728042602539,,0.617932123963,1950,,,3900,0.014877319,logged_n_param,2026,50.425,,0.9101,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh2,96,192,ok,0.38639000058174133,0.39671677350997925,,0.621602767515,57,,,57,0.000217438,logged_n_param,2026,16.7587,,0.772,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh2,96,192,ok,0.4555008113384247,0.45949095487594604,,0.674908002129,3261504,,,3261504,12.441650391,logged_n_param,2026,25.3633,,1.1791,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh2,96,192,ok,0.37667444348335266,0.40136000514030457,,0.613738090299,74286,,,74286,0.283378601,logged_n_param,2026,29.8428,,1.6829,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh2,96,192,ok,0.37807267904281616,0.397566556930542,,0.614876149353,236608,,,236608,0.902587891,logged_n_param,2026,30.6262,,1.3428,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh2,96,192,ok,0.36703795194625854,0.3902987241744995,,0.605836571978,53696,,,53696,0.204833984,logged_n_param,2026,132.4441,,0.9604,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh2,96,192,ok,0.40562668442726135,0.42232146859169006,,0.636888282533,37248,,,37248,0.142089844,logged_n_param,2026,19.659,,1.0815,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh2,96,192,ok,0.38484397530555725,0.39556777477264404,,0.620357941277,61,,,107,0.000408173,logged_n_param,2026,28.1787,,0.7053,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh2,96,192,ok,0.3701131560016939,0.38738097873365657,1.563016421596515,0.60836925958,1544,,,1544,0.005889893,0716v2_audited_param_count,2021,54.35837936401367,,2.0454297065734863,0.17287352809169204,34.4228515625,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
FreqCycle,ETTh2,96,192,ok,0.3650637374127025,0.3911111628785161,1.5727829160837705,0.604205045835,75320,38136,37184,75320,0.287322998,0716v2_audited_param_count,2026,21.068655490875244,,1.5755653381347656,0.11909093036582674,75.31494140625,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,,,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Compact + Echo,ETTh2,96,336,ok,0.4237327003950373,0.434188320873713,1.884932896245876,0.650947540432,2562,,,2562,0.009773254,locked_3seed_actual_param_count,"2024,2025,2026",18.092164278030396,,,,59.1689453125,local_compact_echo_locked_3seed_mean,validation-locked production route; three matched seeds; one deferred held-out test per checkpoint,analysis_exp/source_snapshot_0721v1/compact_echo_true9_88cells.csv,,,Production route arm=true_compact_echo; MAPE was streamed during the 0717v2 completion.
TQNet,ETTh2,96,336,ok,0.41859692335128784,0.42943012714385986,,0.646990667128,784760,,,784760,2.993621826,logged_n_param,2026,17.0087,,0.6968,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
