model,dataset,seq_len,pred_len,seed,status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,train_seconds,inference_seconds,forward_ms_per_sample,test_peak_gpu_mem_mb,source_type,protocol,source_path,notes
MixLinear,ETTh1,720,96,2026,ok,0.37407511472702026,0.4099274277687073,,0.61161680383,67,,,44.6612,0.7759,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh1,720,96,2026,ok,0.36719808466834736,0.38599777132446583,8.847256795212717,0.6059687159155557,2072,,,144.64068484306335,2.113121271133423,0.2386874653260212,35.24755859375,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l3_d4_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTh1,720,96,2026,ok,0.3761642448534256,0.408509514137072,10.620118272774215,0.613322300959,252832,148160,104672,73.97402477264404,1.765946388244629,0.17936778985485569,484.5576171875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTh1,720,192,2026,ok,0.39667934506113367,0.4207348662799806,10.041304656375944,0.629824852686153,3970,,,25.94488525390625,1.6659963130950928,0.14828905578291923,66.771484375,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r4_t16; input=pcke; input_k=2; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=0; gate_cap=0.5; lr=0.005
TQNet,ETTh1,720,192,2026,ok,0.4141155779361725,0.42972567677497864,,0.643518125569,3069608,,,17.0402,0.7371,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh1,720,192,2026,ok,0.4143056273460388,0.4239436388015747,,0.643665773011,138600,,,38.2369,0.6499,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh1,720,192,2026,ok,0.41361215710639954,0.4225175678730011,,0.643126859264,41678,,,54.2418,1.0239,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh1,720,192,2026,ok,0.4029437005519867,0.41150444746017456,,0.634778465728,265,,,36.2867,0.8986,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh1,720,192,2026,ok,0.47743508219718933,0.4779393672943115,,0.690966773584,23708736,,,41.8537,1.4721,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh1,720,192,2026,ok,0.4306679666042328,0.4501361846923828,,0.656252974549,234654,,,22.1507,1.7798,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh1,720,192,2026,ok,0.4344436228275299,0.45496997237205505,,0.659123374512,1025984,,,25.1912,1.1943,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh1,720,192,2026,ok,0.4168654978275299,0.4354951083660126,,0.645651219954,294560,,,57.0619,0.8895,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh1,720,192,2026,ok,0.4383701980113983,0.449484646320343,,0.662095308858,276864,,,14.8714,1.2098,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh1,720,192,2026,ok,0.409694641828537,0.4362536668777466,,0.640073934658,87,,,31.6947,0.8139,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh1,720,192,2026,ok,0.41194920543340446,0.41617761501549116,9.710595168591196,0.6418326927115855,2092,,,75.10653638839722,1.5315470695495605,0.17638856311913687,35.48779296875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l3_d4_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTh1,720,192,2026,ok,0.4074214292585804,0.42838704570186187,10.146839034137317,0.638295722419,277600,160544,117056,73.3086748123169,1.2768056392669678,0.10745923352445444,485.61328125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTh1,720,336,2026,ok,0.4260882108449951,0.43899269213981185,10.161658338257014,0.652754326561682,4066,,,51.23934459686279,1.423116683959961,0.06569885776409319,0.0,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r4_t16; input=pcke; input_k=2; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=0; gate_cap=0.5; lr=0.005
TQNet,ETTh1,720,336,2026,ok,0.455739289522171,0.455806702375412,,0.675084653597,3143480,,,14.7777,0.706,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh1,720,336,2026,ok,0.4455920159816742,0.4437824487686157,,0.66752679046,242424,,,31.9896,0.6181,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh1,720,336,2026,ok,0.43292757868766785,0.43993228673934937,,0.657972323649,48230,,,46.7885,0.9245,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh1,720,336,2026,ok,0.4345642328262329,0.4278177320957184,,0.659214860896,445,,,21.8164,0.7934,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh1,720,336,2026,ok,0.5327762961387634,0.5147860050201416,,0.72991526641,23745744,,,34.0099,1.3463,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh1,720,336,2026,ok,0.4505031406879425,0.46356743574142456,,0.671195307409,271662,,,22.3034,1.6371,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh1,720,336,2026,ok,0.4941021203994751,0.49454429745674133,,0.702923979104,3698512,,,23.0423,1.1001,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh1,720,336,2026,ok,0.4494304955005646,0.45870718359947205,,0.670395775271,502064,,,52.2939,0.8659,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh1,720,336,2026,ok,0.46796172857284546,0.4713420271873474,,0.684077282603,484512,,,15.5535,0.9919,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh1,720,336,2026,ok,0.41350579261779785,0.43624699115753174,,0.643044160706,111,,,48.1081,0.786,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh1,720,336,2026,ok,0.4287572259034506,0.4251908325323618,8.852274952773788,0.6547955603877065,2122,,,63.030171394348145,2.1534409523010254,0.24695427813164686,35.84814453125,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l3_d4_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTh1,720,336,2026,ok,0.45578015727498766,0.46149956654164304,9.597630377562952,0.675114921532,1126528,585008,541520,68.21390843391418,1.6928246021270752,0.17250238173075885,490.29345703125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTh1,720,720,2026,ok,0.4343906265122932,0.4594398235665083,10.468173128206466,0.65908317116453,4322,,,28.734047889709473,1.3871521949768066,0.1588214719794089,100.51171875,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r4_t16; input=pcke; input_k=2; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=0; gate_cap=0.5; lr=0.005
TQNet,ETTh1,720,720,2026,ok,0.5055779814720154,0.5041306018829346,,0.71104007023,3340472,,,15.6686,0.8898,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh1,720,720,2026,ok,0.47718533873558044,0.4819819927215576,,0.690786029633,519288,,,25.5823,0.7245,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh1,720,720,2026,ok,0.43090853095054626,0.45682865381240845,,0.656436235251,65884,,,57.5627,0.9953,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh1,720,720,2026,ok,0.42561429738998413,0.4450589716434479,,0.652391214985,925,,,32.3056,0.9095,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh1,720,720,2026,ok,0.5945382118225098,0.5498382449150085,,0.771063040109,23844432,,,40.6602,1.4034,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh1,720,720,2026,ok,0.502188503742218,0.5007496476173401,,0.708652597358,370350,,,22.526,1.5679,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh1,720,720,2026,ok,0.5749146342277527,0.5505433082580566,,0.758231253793,3895504,,,23.2791,1.199,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh1,720,720,2026,ok,0.47029203176498413,0.48533669114112854,,0.685778413021,1055408,,,56.6182,0.8945,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh1,720,720,2026,ok,0.5079513192176819,0.5209159255027771,,0.712707036038,1038240,,,14.4739,1.1549,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh1,720,720,2026,ok,0.42420992255210876,0.4573168456554413,,0.651313996896,167,,,34.9494,0.8115,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh1,720,720,2026,ok,0.4180024960740493,0.44093329274369464,9.106482442223347,0.6465311253714312,60762,,,94.75905585289001,2.159458637237549,0.2762434883794132,40.37744140625,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l3_d32_h2_r16; completion_0716v2_locked_profile
FreqCycle,ETTh1,720,720,2026,ok,0.4867874891367912,0.49520079611366524,9.987719185022877,0.697701575988,1520512,782000,738512,66.84770464897156,1.6735172271728516,0.19468823602972127,496.48046875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTh2,720,96,2026,ok,0.2713738606367237,0.3336247700851092,1.418475703403646,0.520935562845083,2978,,,20.1616530418396,1.562831163406372,0.12373317989664523,59.79541015625,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.5; lr=0.005
TQNet,ETTh2,720,96,2026,ok,0.2887498438358307,0.35072454810142517,,0.537354486197,3020360,,,16.248,0.731,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh2,720,96,2026,ok,0.27115511894226074,0.337828665971756,,0.520725569703,69384,,,29.5258,0.5498,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh2,720,96,2026,ok,0.27274051308631897,0.3382429778575897,,0.522245644392,37310,,,55.8001,0.9424,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh2,720,96,2026,ok,0.28404802083969116,0.3423610031604767,,0.532961556625,145,,,36.4025,0.8031,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh2,720,96,2026,ok,0.3707292079925537,0.4145609140396118,,0.608875363266,23684064,,,68.9444,1.3608,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh2,720,96,2026,ok,0.3217521905899048,0.3762148320674896,,0.567232042986,209982,,,21.5728,1.6273,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh2,720,96,2026,ok,0.3086549937725067,0.3621634840965271,,0.555567272049,304096,,,28.5744,1.2679,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh2,720,96,2026,ok,0.2772338092327118,0.3396688997745514,,0.526529969928,156224,,,71.8896,0.8383,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh2,720,96,2026,ok,0.3480552136898041,0.4015803039073944,,0.589962044279,138432,,,15.2245,1.2144,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh2,720,96,2026,ok,0.28609880805015564,0.3452703654766083,,0.534882050596,87,,,42.7418,1.0425,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh2,720,96,2026,ok,0.28232705783498463,0.343274166982845,1.4458536713957062,0.5313445754263278,1716,,,86.42302536964417,1.8639345169067383,0.15494995331433492,35.21142578125,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTh2,720,96,2026,ok,0.28375551100771296,0.3449739611589283,1.5283931367728005,0.53268706668,252832,148160,104672,78.09758400917053,1.8037047386169434,0.1681176935534931,484.5576171875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTh2,720,192,2026,ok,0.3366454454652481,0.37868623859340944,1.5736398448836253,0.580211552336946,3042,,,20.257696866989136,1.6110508441925049,0.1452061680782664,68.529296875,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.5; lr=0.005
TQNet,ETTh2,720,192,2026,ok,0.36291444301605225,0.39711615443229675,,0.602423806814,3069608,,,18.3542,0.7164,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh2,720,192,2026,ok,0.3313729465007782,0.3797982335090637,,0.575650020847,138600,,,38.0757,0.5936,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh2,720,192,2026,ok,0.33196765184402466,0.37570351362228394,,0.57616634043,41678,,,57.1367,0.9296,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh2,720,192,2026,ok,0.34183478355407715,0.3785141110420227,,0.584666386544,265,,,25.1456,0.7086,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh2,720,192,2026,ok,0.5145644545555115,0.4894672632217407,,0.717331481643,23708736,,,45.5597,1.3596,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh2,720,192,2026,ok,0.37776389718055725,0.4094568192958832,,0.614625005333,234654,,,21.8022,1.6662,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh2,720,192,2026,ok,0.38932549953460693,0.41134998202323914,,0.623959533571,316480,,,28.7687,1.305,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh2,720,192,2026,ok,0.3519377112388611,0.3888952434062958,,0.593243382802,294560,,,92.7529,0.8929,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh2,720,192,2026,ok,0.38725677132606506,0.4228920042514801,,0.62229958326,276864,,,33.8976,1.0891,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh2,720,192,2026,ok,0.3425609767436981,0.37977486848831177,,0.585287089165,107,,,46.0769,0.7601,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTh2,720,192,2026,ok,0.34483130051512717,0.381016016639694,1.5494435329896068,0.587223382125684,1752,,,81.19213509559631,1.8663840293884277,0.16115068986154013,35.45166015625,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTh2,720,192,2026,ok,0.35394702042991477,0.39308966036211757,1.6216733401138586,0.594934467341,277600,160544,117056,73.79602885246277,1.7968673706054688,0.17100378355602208,485.61328125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTh2,720,336,2026,ok,0.3750363212947712,0.40984357864298615,1.7523111697677798,0.612402091190724,3138,,,18.424397945404053,1.6039009094238281,0.14756634972773652,81.04443359375,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.5; lr=0.005
TQNet,ETTh2,720,336,2026,ok,0.3828412592411041,0.41631078720092773,,0.618741674078,3143480,,,17.9869,0.7609,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh2,720,336,2026,ok,0.3668234050273895,0.4114667773246765,,0.605659479433,242424,,,24.0713,0.7094,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh2,720,336,2026,ok,0.3548415005207062,0.39678412675857544,,0.595685739733,48230,,,59.3209,0.8818,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh2,720,336,2026,ok,0.3661781847476959,0.4016106426715851,,0.605126585722,445,,,23.6272,0.8135,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh2,720,336,2026,ok,0.5026333928108215,0.4981009066104889,,0.708966425729,23745744,,,33.6209,1.196,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh2,720,336,2026,ok,0.40695375204086304,0.43629100918769836,,0.637929268839,271662,,,22.1234,1.6393,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh2,720,336,2026,ok,0.4855862259864807,0.47082096338272095,,0.696840172483,335056,,,35.5718,1.2251,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh2,720,336,2026,ok,0.3638736605644226,0.4047430157661438,,0.603219413285,502064,,,57.644,0.8349,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh2,720,336,2026,ok,0.570676326751709,0.5266774892807007,,0.755431219074,484512,,,15.5187,1.0563,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTh2,720,336,2026,ok,0.3601621091365814,0.39837104082107544,,0.600135075743,131,,,40.9427,0.7938,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
